image,episode,title,url
S29E12.jpg,S29E12,Aurora's Dance,/painting/auroras-dance
S29E13.jpg,S29E13,Woodman's Retreat,/painting/woodmans-retreat
S30E1.jpg,S30E1,Babbling Brook,/painting/babbling-brook
S30E2.jpg,S30E2,Woodgrain View,/painting/woodgrain-view
S30E3.jpg,S30E3,Winter's Peace,/painting/winters-peace
S30E4.jpg,S30E4,Wilderness Trail,/painting/wilderness-trail
S30E5.jpg,S30E5,A Copper Winter,/painting/a-copper-winter
S30E6.jpg,S30E6,Misty Foothills,/painting/misty-foothills
S30E7.jpg,S30E7,Through the Window,/painting/through-the-window
S30E8.jpg,S30E8,Home in the Valley,/painting/home-in-the-valley
S30E9.jpg,S30E9,Mountains of Grace,/painting/mountains-of-grace
S30E10.jpg,S30E10,Seaside Harmony,/painting/seaside-harmony
S30E11.jpg,S30E11,A Cold Spring Day,/painting/a-cold-spring-day
S30E12.jpg,S30E12,Evening's Glow,/painting/evenings-glow
S30E13.jpg,S30E13,Blue Ridge Falls,/painting/blue-ridge-falls
S31E1.jpg,S31E1,Reflections of Calm,/painting/reflections-of-calm
S31E2.jpg,S31E2,Before the Snowfall,/painting/before-the-snowfall
S31E3.jpg,S31E3,Winding Stream,/painting/winding-stream
S31E4.jpg,S31E4,Tranquility Cove,/painting/tranquility-cove
S31E5.jpg,S31E5,Cabin in the Hollow,/painting/cabin-in-the-hollow
S31E6.jpg,S31E6,View from Clear Creek,/painting/view-from-clear-creek
S31E7.jpg,S31E7,Bridge to Autumn,/painting/bridge-to-autumn
S31E8.jpg,S31E8,Trail's End,/painting/trails-end
S31E9.jpg,S31E9,Evergreen Valley,/painting/evergreen-valley
S31E10.jpg,S31E10,Balmy Beach,/painting/balmy-beach
S31E11.jpg,S31E11,Lake at the Ridge,/painting/lake-at-the-ridge
S31E12.jpg,S31E12,In the Midst of Winter,/painting/in-the-midst-of-winter
S31E13.jpg,S31E13,Wilderness Day,/painting/wilderness-day
